policy_id,customer_id,policy_type,add_on_cover,vehicle_model,vehicle_make,vehicle_type,fuel_type,vehicle_year,idv,premium_amount
25,1448,Own Damage,Consumables Cover,WagonR,Maruti Suzuki,Hatchback,Petrol,2019,1687003,38436
26,829,Comprehensive,Zero Depreciation,i20,Hyundai,Compact SUV,CNG,2023,413692,55814
27,2751,Third Party,Return to Invoice,Punch,Tata,Compact SUV,CNG,2023,401273,9005
28,155,Comprehensive,No Add-on,Astor,MG,SUV,CNG,2019,1466950,35990
29,2346,Third Party,Roadside Assistance,Nexon,Tata,Compact SUV,Petrol,2018,237994,51344
30,1930,Comprehensive,Roadside Assistance,Punch,Tata,Compact SUV,Petrol,2018,147065,22684
31,1133,Third Party,Zero Depreciation,Safari,Tata,Compact SUV,Electric,2021,1913064,35011
32,1574,Own Damage,Engine Protect,Fortuner,Toyota,MUV,Diesel,2020,1573598,35276
33,2008,Third Party,No Add-on,Sonet,Kia,Compact SUV,Diesel,2019,272701,12772
34,1189,Comprehensive,Roadside Assistance,Amaze,Honda,Sedan,Hybrid,2020,1080538,40716
35,154,Comprehensive,Roadside Assistance,Harrier,Tata,Compact SUV,Petrol,2018,1465399,34501
36,1785,Comprehensive,Engine Protect,Seltos,Kia,Compact SUV,Hybrid,2021,1831469,26847
37,197,Own Damage,Consumables Cover,Baleno,Maruti Suzuki,Hatchback,Electric,2025,1356823,13521
38,2339,Comprehensive,Roadside Assistance,Fortuner,Toyota,MUV,Hybrid,2021,443325,43748
39,54,Comprehensive,Consumables Cover,Innova,Toyota,MUV,Diesel,2016,1225096,54463
40,1343,Third Party,Roadside Assistance,Fortuner,Toyota,MUV,Hybrid,2022,305069,22450
41,632,Third Party,Roadside Assistance,Safari,Tata,Compact SUV,Electric,2024,332766,50694
42,181,Third Party,Consumables Cover,Venue,Hyundai,Compact SUV,CNG,2016,1550580,5958
43,2688,Own Damage,Engine Protect,Baleno,Maruti Suzuki,Hatchback,Electric,2017,169290,44927
44,2149,Comprehensive,Return to Invoice,Scorpio,Mahindra,SUV,CNG,2025,1341453,46547
45,2175,Comprehensive,Consumables Cover,Sonet,Kia,Compact SUV,Petrol,2022,1631108,11717
46,265,Comprehensive,No Add-on,Safari,Tata,Compact SUV,Diesel,2020,1311903,9371
47,1892,Comprehensive,Return to Invoice,Sonet,Kia,Compact SUV,Diesel,2021,197160,29438
48,1668,Own Damage,Roadside Assistance,City,Honda,Sedan,Petrol,2021,444370,21779
49,128,Comprehensive,Return to Invoice,Scorpio,Mahindra,SUV,Petrol,2024,1621719,44218
50,292,Comprehensive,Zero Depreciation,Sonet,Kia,Compact SUV,CNG,2015,746840,53138
51,367,Comprehensive,Roadside Assistance,Venue,Hyundai,Compact SUV,Petrol,2020,1136138,44760
52,512,Comprehensive,Consumables Cover,Amaze,Honda,Sedan,CNG,2019,836117,31855
53,2683,Comprehensive,Roadside Assistance,Kiger,Renault,Compact SUV,CNG,2015,410118,35431
54,2760,Own Damage,Consumables Cover,City,Honda,Sedan,Diesel,2020,362496,56901
55,2540,Third Party,Engine Protect,Fortuner,Toyota,MUV,Diesel,2025,1849947,6167
56,817,Third Party,Engine Protect,Seltos,Kia,Compact SUV,CNG,2020,754946,25475
57,2391,Own Damage,Return to Invoice,Astor,MG,SUV,Petrol,2020,1185777,37136
58,1662,Comprehensive,Return to Invoice,XUV700,Mahindra,SUV,CNG,2024,136231,25103
59,2446,Own Damage,No Add-on,Scorpio,Mahindra,SUV,Petrol,2017,869713,8871
60,2237,Own Damage,Zero Depreciation,Nexon,Tata,Compact SUV,Hybrid,2015,159543,13102
61,609,Third Party,Return to Invoice,Creta,Hyundai,Compact SUV,Diesel,2019,809747,28812
62,2172,Third Party,Roadside Assistance,Harrier,Tata,Compact SUV,Electric,2015,1375473,30582
63,2048,Third Party,Consumables Cover,i20,Hyundai,Compact SUV,Hybrid,2015,1602293,59438
64,2483,Third Party,Consumables Cover,XUV700,Mahindra,SUV,Diesel,2022,596082,37980
65,2844,Own Damage,Return to Invoice,Sonet,Kia,Compact SUV,Petrol,2015,1086648,22153
66,1815,Own Damage,Return to Invoice,XUV700,Mahindra,SUV,Petrol,2015,1569982,38405
67,305,Own Damage,No Add-on,Kiger,Renault,Compact SUV,Diesel,2022,682644,9853
68,335,Own Damage,Zero Depreciation,Nexon,Tata,Compact SUV,Electric,2015,1601531,49611
69,46,Own Damage,Roadside Assistance,Baleno,Maruti Suzuki,Hatchback,Hybrid,2022,624119,35396
70,2832,Third Party,No Add-on,Nexon,Tata,Compact SUV,Petrol,2023,1030729,20850
71,2490,Third Party,No Add-on,Astor,MG,SUV,CNG,2015,387534,45135
72,2128,Own Damage,Return to Invoice,Venue,Hyundai,Compact SUV,Electric,2024,1383822,49936
73,2996,Third Party,Zero Depreciation,Fortuner,Toyota,MUV,Petrol,2023,1118752,7814
74,2114,Own Damage,Consumables Cover,WagonR,Maruti Suzuki,Hatchback,Electric,2020,341672,30256
75,2770,Third Party,Return to Invoice,Kiger,Renault,Compact SUV,Hybrid,2021,407264,23993
76,1112,Comprehensive,Return to Invoice,Nexon,Tata,Compact SUV,Diesel,2015,279509,37571
77,630,Own Damage,Engine Protect,Kushaq,Skoda,Sedan,Petrol,2016,246783,20596
78,107,Own Damage,No Add-on,Kiger,Renault,Compact SUV,Hybrid,2023,399331,36647
79,2404,Third Party,Zero Depreciation,Slavia,Skoda,Sedan,CNG,2024,617755,52808
80,2492,Comprehensive,Engine Protect,Creta,Hyundai,Compact SUV,Petrol,2015,1476102,11632
81,834,Own Damage,No Add-on,i20,Hyundai,Compact SUV,Hybrid,2014,1902831,39118
82,725,Own Damage,Engine Protect,Kiger,Renault,Compact SUV,Electric,2014,275484,50566
83,1758,Third Party,Consumables Cover,Seltos,Kia,Compact SUV,Hybrid,2016,1799489,13634
84,263,Comprehensive,Zero Depreciation,i20,Hyundai,Compact SUV,Petrol,2018,1869589,21167
85,2402,Third Party,Consumables Cover,Seltos,Kia,Compact SUV,CNG,2023,454406,20565
86,37,Third Party,Engine Protect,Astor,MG,SUV,Petrol,2023,687375,18879
87,2455,Own Damage,Roadside Assistance,Punch,Tata,Compact SUV,CNG,2023,432446,59869
88,167,Comprehensive,Roadside Assistance,Scorpio,Mahindra,SUV,Hybrid,2022,102201,26421
89,1858,Comprehensive,No Add-on,Innova,Toyota,MUV,Diesel,2024,1199925,35585
90,434,Own Damage,Return to Invoice,XUV700,Mahindra,SUV,Electric,2016,1172928,36115
91,1835,Third Party,Return to Invoice,City,Honda,Sedan,Hybrid,2020,542978,22012
92,1936,Own Damage,Return to Invoice,Sonet,Kia,Compact SUV,Petrol,2014,1187735,42713
93,834,Third Party,Zero Depreciation,Innova,Toyota,MUV,Hybrid,2018,629113,40352
94,243,Comprehensive,Engine Protect,Harrier,Tata,Compact SUV,Hybrid,2025,1776878,21538
95,1468,Own Damage,Consumables Cover,Venue,Hyundai,Compact SUV,CNG,2025,1208870,21272
96,634,Third Party,Return to Invoice,Innova,Toyota,MUV,Hybrid,2016,1923012,20373
97,871,Third Party,No Add-on,Sonet,Kia,Compact SUV,Petrol,2020,861149,9542
98,1531,Own Damage,Return to Invoice,Magnite,Nissan,Compact SUV,Electric,2017,442509,19522
99,109,Third Party,Return to Invoice,Slavia,Skoda,Sedan,Diesel,2018,1581591,9102
100,935,Comprehensive,Engine Protect,Kiger,Renault,Compact SUV,Diesel,2014,1252988,10764
101,2474,Third Party,No Add-on,Slavia,Skoda,Sedan,CNG,2016,1880869,17701
102,1172,Third Party,Return to Invoice,Fortuner,Toyota,MUV,Diesel,2025,949163,33066
103,1194,Comprehensive,Zero Depreciation,Punch,Tata,Compact SUV,Electric,2015,1545142,21609
104,988,Comprehensive,Zero Depreciation,i20,Hyundai,Compact SUV,Hybrid,2021,1999853,55003
105,2391,Third Party,No Add-on,XUV700,Mahindra,SUV,CNG,2018,518282,13882
106,1147,Own Damage,Return to Invoice,Scorpio,Mahindra,SUV,Petrol,2022,1322467,57978
107,114,Third Party,Engine Protect,Baleno,Maruti Suzuki,Hatchback,CNG,2014,815267,13895
108,974,Own Damage,Engine Protect,Amaze,Honda,Sedan,Petrol,2025,1451530,30481
109,1791,Third Party,Roadside Assistance,Punch,Tata,Compact SUV,Hybrid,2021,1651949,40416
110,1809,Comprehensive,Consumables Cover,City,Honda,Sedan,Petrol,2015,1428047,22187
111,2320,Comprehensive,Roadside Assistance,Nexon,Tata,Compact SUV,Petrol,2019,1900673,32736
112,758,Comprehensive,Zero Depreciation,WagonR,Maruti Suzuki,Hatchback,Petrol,2024,196437,30205
113,2175,Third Party,Consumables Cover,Kiger,Renault,Compact SUV,Hybrid,2025,1067040,6048
114,203,Own Damage,Return to Invoice,Kushaq,Skoda,Sedan,CNG,2019,1716174,7514
115,16,Own Damage,Return to Invoice,Swift,Maruti Suzuki,Hatchback,Petrol,2015,848888,32438
116,1113,Comprehensive,Roadside Assistance,Scorpio,Mahindra,SUV,Electric,2025,110504,40422
117,1406,Comprehensive,Roadside Assistance,Kiger,Renault,Compact SUV,Hybrid,2020,1148612,4978
118,901,Own Damage,Zero Depreciation,Punch,Tata,Compact SUV,Petrol,2018,98631,32701
119,1769,Own Damage,No Add-on,Scorpio,Mahindra,SUV,CNG,2017,1763149,34746
120,1885,Own Damage,Consumables Cover,Creta,Hyundai,Compact SUV,CNG,2022,1517736,59935
121,1050,Own Damage,No Add-on,Safari,Tata,Compact SUV,Hybrid,2015,1271461,6157
122,884,Own Damage,Roadside Assistance,Innova,Toyota,MUV,Diesel,2024,781421,50790
123,311,Comprehensive,Engine Protect,Kiger,Renault,Compact SUV,Electric,2024,1695945,14511
124,2339,Comprehensive,Return to Invoice,Swift,Maruti Suzuki,Hatchback,Petrol,2017,1672031,45906
125,401,Comprehensive,Return to Invoice,Sonet,Kia,Compact SUV,Diesel,2015,1450956,6282
126,24,Comprehensive,Consumables Cover,Scorpio,Mahindra,SUV,Electric,2022,1731131,31986
127,418,Comprehensive,Return to Invoice,Slavia,Skoda,Sedan,CNG,2017,1191547,12200
128,778,Comprehensive,Consumables Cover,Sonet,Kia,Compact SUV,CNG,2025,569033,15677
129,2624,Third Party,No Add-on,Kiger,Renault,Compact SUV,Petrol,2024,1788107,22955
130,1065,Comprehensive,Consumables Cover,Kiger,Renault,Compact SUV,Petrol,2025,1823928,48160
131,2155,Own Damage,Zero Depreciation,Kiger,Renault,Compact SUV,Electric,2023,207394,4543
132,1978,Own Damage,Roadside Assistance,Amaze,Honda,Sedan,Electric,2016,169639,50184
133,2426,Own Damage,Consumables Cover,Amaze,Honda,Sedan,Petrol,2015,1456907,15367
134,693,Comprehensive,Return to Invoice,WagonR,Maruti Suzuki,Hatchback,CNG,2022,174953,4336
135,735,Third Party,Engine Protect,Astor,MG,SUV,CNG,2016,1415512,57876
136,2191,Own Damage,Return to Invoice,Kushaq,Skoda,Sedan,Petrol,2021,1995541,29863
137,358,Third Party,Roadside Assistance,Safari,Tata,Compact SUV,Diesel,2014,1053337,16678
138,1544,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Petrol,2015,1334546,55944
139,1512,Comprehensive,Engine Protect,WagonR,Maruti Suzuki,Hatchback,Electric,2019,1514669,13928
140,1338,Comprehensive,Consumables Cover,Innova,Toyota,MUV,Hybrid,2024,1784760,39788
141,2652,Own Damage,Consumables Cover,XUV700,Mahindra,SUV,Petrol,2014,1432822,46174
142,2839,Own Damage,Engine Protect,Innova,Toyota,MUV,Electric,2024,1683961,7500
143,1266,Own Damage,Engine Protect,i20,Hyundai,Compact SUV,Electric,2016,1632908,26119
144,2462,Comprehensive,Engine Protect,Baleno,Maruti Suzuki,Hatchback,Diesel,2022,1336471,42844
145,811,Third Party,Zero Depreciation,Punch,Tata,Compact SUV,Diesel,2021,993750,41320
146,60,Own Damage,Roadside Assistance,Fortuner,Toyota,MUV,CNG,2025,1515277,17996
147,2654,Own Damage,Zero Depreciation,Punch,Tata,Compact SUV,CNG,2021,1530908,15534
148,1864,Third Party,Roadside Assistance,Creta,Hyundai,Compact SUV,CNG,2015,1951327,38877
149,2893,Third Party,Engine Protect,Fortuner,Toyota,MUV,Electric,2015,509476,51115
150,1842,Third Party,Engine Protect,Slavia,Skoda,Sedan,Electric,2020,1168688,47850
151,2692,Third Party,Roadside Assistance,Harrier,Tata,Compact SUV,Electric,2016,1248783,3350
152,1691,Third Party,Engine Protect,Baleno,Maruti Suzuki,Hatchback,CNG,2023,1536302,19773
153,1545,Comprehensive,No Add-on,Fortuner,Toyota,MUV,Petrol,2025,1958109,3180
154,650,Comprehensive,Consumables Cover,Punch,Tata,Compact SUV,Diesel,2018,712975,26535
155,515,Own Damage,Roadside Assistance,City,Honda,Sedan,Diesel,2023,1752437,39801
156,405,Comprehensive,Consumables Cover,Slavia,Skoda,Sedan,Hybrid,2020,1479715,17478
157,2274,Own Damage,Consumables Cover,Fortuner,Toyota,MUV,Petrol,2022,594788,33943
158,1526,Own Damage,Return to Invoice,Venue,Hyundai,Compact SUV,Diesel,2023,855250,45716
159,2147,Comprehensive,Zero Depreciation,Baleno,Maruti Suzuki,Hatchback,Hybrid,2023,1152545,46737
160,1525,Comprehensive,Consumables Cover,Innova,Toyota,MUV,Electric,2024,1134015,36745
161,1112,Comprehensive,Consumables Cover,Sonet,Kia,Compact SUV,Petrol,2021,732855,5907
162,2892,Own Damage,Return to Invoice,Innova,Toyota,MUV,Petrol,2016,1816877,7182
163,799,Own Damage,Zero Depreciation,i20,Hyundai,Compact SUV,Electric,2017,321618,56573
164,340,Own Damage,Consumables Cover,Creta,Hyundai,Compact SUV,CNG,2018,474817,20986
165,822,Comprehensive,No Add-on,Kiger,Renault,Compact SUV,CNG,2025,136018,22202
166,2143,Third Party,Return to Invoice,Venue,Hyundai,Compact SUV,Electric,2015,822644,54032
167,2679,Own Damage,Engine Protect,XUV700,Mahindra,SUV,Hybrid,2021,980228,9313
168,872,Third Party,Engine Protect,Baleno,Maruti Suzuki,Hatchback,Electric,2021,1395747,50195
169,2125,Comprehensive,Zero Depreciation,Punch,Tata,Compact SUV,Petrol,2022,1365959,26748
170,1012,Third Party,Engine Protect,Baleno,Maruti Suzuki,Hatchback,Petrol,2015,1514511,31697
171,49,Third Party,Roadside Assistance,Seltos,Kia,Compact SUV,Hybrid,2020,1530311,26190
172,2773,Third Party,No Add-on,Kiger,Renault,Compact SUV,Diesel,2017,806189,31719
173,2655,Third Party,Consumables Cover,Baleno,Maruti Suzuki,Hatchback,Petrol,2024,1078460,43072
174,1779,Own Damage,Roadside Assistance,Fortuner,Toyota,MUV,Petrol,2017,1266003,20486
175,2410,Comprehensive,Consumables Cover,Nexon,Tata,Compact SUV,Petrol,2014,1572763,41332
176,881,Third Party,Roadside Assistance,Kiger,Renault,Compact SUV,Diesel,2015,1201551,15125
177,1138,Own Damage,No Add-on,Venue,Hyundai,Compact SUV,Hybrid,2023,1901302,39193
178,2084,Third Party,Roadside Assistance,Scorpio,Mahindra,SUV,Electric,2015,1226612,39796
179,2534,Comprehensive,No Add-on,Creta,Hyundai,Compact SUV,Diesel,2015,1384846,25604
180,1800,Own Damage,Return to Invoice,Harrier,Tata,Compact SUV,Petrol,2016,529205,53108
181,2931,Third Party,Return to Invoice,Kiger,Renault,Compact SUV,Petrol,2025,252681,40192
182,1921,Own Damage,Consumables Cover,Venue,Hyundai,Compact SUV,Petrol,2019,997247,24150
183,2927,Own Damage,Consumables Cover,Safari,Tata,Compact SUV,Electric,2023,354277,8531
184,245,Comprehensive,Engine Protect,Innova,Toyota,MUV,Petrol,2015,1286474,7184
185,1291,Own Damage,Zero Depreciation,WagonR,Maruti Suzuki,Hatchback,Hybrid,2018,607986,26548
186,445,Comprehensive,Return to Invoice,Magnite,Nissan,Compact SUV,Electric,2019,1529057,49100
187,572,Comprehensive,Roadside Assistance,Kushaq,Skoda,Sedan,Diesel,2014,1553813,58330
188,1796,Own Damage,Zero Depreciation,Innova,Toyota,MUV,Hybrid,2020,1562977,43318
189,1737,Comprehensive,Consumables Cover,Scorpio,Mahindra,SUV,Petrol,2019,1999505,29225
190,1256,Comprehensive,No Add-on,Nexon,Tata,Compact SUV,Hybrid,2019,1553886,30948
191,2867,Own Damage,Zero Depreciation,Nexon,Tata,Compact SUV,CNG,2022,709500,16088
192,1247,Own Damage,Return to Invoice,WagonR,Maruti Suzuki,Hatchback,Petrol,2016,361759,29439
193,2990,Comprehensive,Consumables Cover,Baleno,Maruti Suzuki,Hatchback,Diesel,2020,473291,5871
194,148,Comprehensive,Roadside Assistance,Safari,Tata,Compact SUV,Hybrid,2023,291503,51243
195,148,Third Party,No Add-on,Astor,MG,SUV,Diesel,2020,435503,14006
196,1413,Own Damage,Zero Depreciation,Seltos,Kia,Compact SUV,Hybrid,2019,608328,18406
197,354,Own Damage,No Add-on,Astor,MG,SUV,CNG,2020,1587361,52364
198,1705,Own Damage,Zero Depreciation,Safari,Tata,Compact SUV,Electric,2022,1433688,6303
199,451,Third Party,Roadside Assistance,Punch,Tata,Compact SUV,Hybrid,2022,1479301,48873
200,2278,Third Party,Return to Invoice,City,Honda,Sedan,Electric,2020,94134,49269
201,264,Own Damage,Consumables Cover,Innova,Toyota,MUV,Petrol,2015,874648,32628
202,1623,Third Party,Roadside Assistance,Sonet,Kia,Compact SUV,Petrol,2019,1396376,41739
203,2077,Comprehensive,Consumables Cover,Sonet,Kia,Compact SUV,Electric,2017,138298,8133
204,2936,Third Party,Roadside Assistance,Scorpio,Mahindra,SUV,Hybrid,2020,139462,39101
205,1722,Own Damage,No Add-on,WagonR,Maruti Suzuki,Hatchback,CNG,2022,483203,55489
206,695,Comprehensive,Roadside Assistance,Harrier,Tata,Compact SUV,Hybrid,2016,1702971,58599
207,2869,Own Damage,Zero Depreciation,Venue,Hyundai,Compact SUV,Petrol,2017,1313933,23747
208,274,Third Party,Zero Depreciation,Kiger,Renault,Compact SUV,CNG,2020,400123,29429
209,1900,Own Damage,Zero Depreciation,Fortuner,Toyota,MUV,CNG,2014,1050157,49091
210,311,Own Damage,No Add-on,Magnite,Nissan,Compact SUV,Hybrid,2025,1429794,14770
211,1153,Own Damage,No Add-on,Nexon,Tata,Compact SUV,Diesel,2014,1253204,38691
212,865,Own Damage,No Add-on,Magnite,Nissan,Compact SUV,Electric,2018,978806,47684
213,615,Own Damage,Zero Depreciation,Venue,Hyundai,Compact SUV,Electric,2021,1473510,55969
214,569,Own Damage,Zero Depreciation,Magnite,Nissan,Compact SUV,CNG,2016,991772,38326
215,2845,Third Party,Consumables Cover,Venue,Hyundai,Compact SUV,Petrol,2017,1471580,47397
216,834,Third Party,Consumables Cover,Amaze,Honda,Sedan,Petrol,2024,102110,11916
217,2957,Comprehensive,Return to Invoice,i20,Hyundai,Compact SUV,Diesel,2024,97926,12162
218,810,Comprehensive,Roadside Assistance,Nexon,Tata,Compact SUV,Diesel,2021,703206,9874
219,705,Comprehensive,Engine Protect,Slavia,Skoda,Sedan,Electric,2015,709024,42722
220,119,Own Damage,Consumables Cover,Safari,Tata,Compact SUV,CNG,2016,111375,47740
221,315,Third Party,Roadside Assistance,City,Honda,Sedan,Petrol,2014,347394,42554
222,2649,Comprehensive,Consumables Cover,Punch,Tata,Compact SUV,Petrol,2022,290569,25619
223,628,Own Damage,Engine Protect,Innova,Toyota,MUV,Hybrid,2017,533671,19947
224,1018,Comprehensive,Consumables Cover,Fortuner,Toyota,MUV,Petrol,2014,572430,57499
225,740,Own Damage,Zero Depreciation,Magnite,Nissan,Compact SUV,CNG,2014,1399655,34162
226,448,Own Damage,Zero Depreciation,Astor,MG,SUV,Diesel,2014,697077,54855
227,729,Comprehensive,Consumables Cover,Innova,Toyota,MUV,Hybrid,2021,868287,50024
228,2944,Own Damage,Engine Protect,Fortuner,Toyota,MUV,Petrol,2017,84421,18870
229,553,Comprehensive,Zero Depreciation,Sonet,Kia,Compact SUV,CNG,2016,1533700,15236
230,2169,Own Damage,Engine Protect,Scorpio,Mahindra,SUV,CNG,2025,1006774,55288
231,1593,Comprehensive,Return to Invoice,Kushaq,Skoda,Sedan,Diesel,2016,979582,43167
232,2744,Own Damage,No Add-on,Punch,Tata,Compact SUV,CNG,2016,1914323,49965
233,1373,Own Damage,No Add-on,Harrier,Tata,Compact SUV,Petrol,2016,1905644,26434
234,2277,Third Party,No Add-on,Swift,Maruti Suzuki,Hatchback,Hybrid,2025,925412,50593
235,1334,Third Party,Zero Depreciation,Venue,Hyundai,Compact SUV,Electric,2018,400372,17290
236,2512,Third Party,Engine Protect,Venue,Hyundai,Compact SUV,Petrol,2016,1962048,21593
237,1404,Comprehensive,Zero Depreciation,Nexon,Tata,Compact SUV,CNG,2015,1800204,13046
238,2966,Comprehensive,Roadside Assistance,Safari,Tata,Compact SUV,CNG,2019,1077421,50644
239,1629,Third Party,Return to Invoice,Sonet,Kia,Compact SUV,Petrol,2022,1155379,11959
240,541,Third Party,No Add-on,Magnite,Nissan,Compact SUV,Hybrid,2021,1145066,56145
241,2989,Comprehensive,Consumables Cover,XUV700,Mahindra,SUV,Diesel,2025,211537,40841
242,1169,Own Damage,Roadside Assistance,Safari,Tata,Compact SUV,CNG,2025,1150782,29936
243,1140,Third Party,Zero Depreciation,Kiger,Renault,Compact SUV,Hybrid,2022,993445,20996
244,2642,Third Party,Roadside Assistance,i20,Hyundai,Compact SUV,Petrol,2020,601529,27351
245,1567,Third Party,Engine Protect,Fortuner,Toyota,MUV,Petrol,2020,276817,39307
246,73,Third Party,Roadside Assistance,Magnite,Nissan,Compact SUV,Petrol,2014,1526206,11539
247,1907,Own Damage,No Add-on,Nexon,Tata,Compact SUV,Hybrid,2022,247496,56408
248,303,Third Party,Engine Protect,Slavia,Skoda,Sedan,CNG,2017,263528,14301
249,1045,Third Party,Roadside Assistance,Harrier,Tata,Compact SUV,Diesel,2023,1676607,45002
250,1796,Third Party,Engine Protect,Seltos,Kia,Compact SUV,Diesel,2015,1686490,32537
251,2703,Comprehensive,Zero Depreciation,Scorpio,Mahindra,SUV,Electric,2016,1327765,45092
252,1045,Comprehensive,No Add-on,Magnite,Nissan,Compact SUV,Electric,2021,1568479,3384
253,212,Comprehensive,Engine Protect,Slavia,Skoda,Sedan,Diesel,2015,1076452,8781
254,844,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Petrol,2016,193741,8373
255,1932,Third Party,Consumables Cover,Amaze,Honda,Sedan,CNG,2020,1448762,7048
256,2842,Third Party,Engine Protect,Venue,Hyundai,Compact SUV,Petrol,2018,859512,13758
257,1908,Third Party,Return to Invoice,Creta,Hyundai,Compact SUV,CNG,2025,1366885,51168
258,1403,Comprehensive,Consumables Cover,Kushaq,Skoda,Sedan,Diesel,2015,1084480,14566
259,1764,Comprehensive,Return to Invoice,Kiger,Renault,Compact SUV,CNG,2021,952149,44301
260,1719,Own Damage,No Add-on,Innova,Toyota,MUV,Petrol,2019,734050,51099
261,780,Third Party,Engine Protect,i20,Hyundai,Compact SUV,Petrol,2024,200332,44909
262,2834,Own Damage,Zero Depreciation,Punch,Tata,Compact SUV,Diesel,2023,146062,44514
263,2609,Comprehensive,Consumables Cover,Kushaq,Skoda,Sedan,Electric,2023,1984178,39264
264,1314,Comprehensive,Engine Protect,i20,Hyundai,Compact SUV,Diesel,2014,491485,23356
265,2574,Comprehensive,No Add-on,Sonet,Kia,Compact SUV,Petrol,2024,1030838,8599
266,2372,Own Damage,Zero Depreciation,Astor,MG,SUV,Petrol,2016,546633,58803
267,135,Own Damage,Consumables Cover,Safari,Tata,Compact SUV,Electric,2021,269503,15633
268,66,Own Damage,Zero Depreciation,XUV700,Mahindra,SUV,Hybrid,2015,189796,34117
269,2984,Comprehensive,Engine Protect,Safari,Tata,Compact SUV,CNG,2016,110213,50116
270,681,Third Party,No Add-on,Fortuner,Toyota,MUV,CNG,2015,1482953,16486
271,2666,Third Party,Roadside Assistance,Safari,Tata,Compact SUV,Petrol,2024,959351,6616
272,1826,Third Party,No Add-on,i20,Hyundai,Compact SUV,Hybrid,2020,1500986,54693
273,1688,Third Party,Consumables Cover,Slavia,Skoda,Sedan,Hybrid,2017,1999165,21889
274,2911,Own Damage,Engine Protect,City,Honda,Sedan,Hybrid,2015,1298120,4151
275,1747,Comprehensive,Return to Invoice,Kushaq,Skoda,Sedan,Petrol,2022,165919,29472
276,2204,Third Party,Zero Depreciation,i20,Hyundai,Compact SUV,Petrol,2025,476846,25473
277,2684,Third Party,No Add-on,XUV700,Mahindra,SUV,Electric,2022,1342891,51391
278,1287,Comprehensive,Roadside Assistance,XUV700,Mahindra,SUV,Diesel,2014,1316534,4206
279,1764,Own Damage,Return to Invoice,Amaze,Honda,Sedan,Hybrid,2019,517406,37940
280,2061,Third Party,Return to Invoice,i20,Hyundai,Compact SUV,CNG,2017,1339729,42611
281,1878,Own Damage,Zero Depreciation,Swift,Maruti Suzuki,Hatchback,Hybrid,2020,1194158,30074
282,1484,Own Damage,Consumables Cover,Magnite,Nissan,Compact SUV,Petrol,2020,205764,57173
283,2343,Comprehensive,Roadside Assistance,Swift,Maruti Suzuki,Hatchback,Petrol,2014,1432031,52008
284,966,Third Party,Return to Invoice,Amaze,Honda,Sedan,Electric,2018,1291873,37088
285,830,Own Damage,Zero Depreciation,Venue,Hyundai,Compact SUV,Electric,2014,807309,8343
