claim_id,policy_id,claim_date,claim_type,claim_amount,amount_approved,claim_status,settlement_days,garage_type
118,1415,5/21/2026,Own Damage,23343,14209,Approved,68,Cashless Network
119,3982,1/19/2026,Engine Damage,334400,286979,Approved,75,Local Garage
120,2601,7/3/2025,Total Loss,214270,0,Rejected,35,Local Garage
121,319,4/7/2026,Glass Damage,289385,232889,Approved,8,Cashless Network
122,61,9/23/2025,Glass Damage,312457,0,Rejected,65,Cashless Network
123,1477,1/28/2026,Theft Fire Damage,38621,0,Rejected,26,Cashless Network
124,3125,8/14/2025,Own Damage,387883,0,Rejected,55,Authorized
125,242,9/29/2025,Glass Damage,55572,31764,Approved,20,Authorized
126,1222,12/23/2025,Total Loss,269664,0,Pending,65,Authorized
127,2076,6/27/2026,Flood Damage,410125,0,Rejected,25,Authorized
128,1621,2/3/2026,Theft Fire Damage,455570,0,Pending,23,Cashless Network
129,2433,3/1/2026,Flood Damage,452882,96653,Approved,61,Multi Brand
130,833,2/26/2026,Glass Damage,266304,21003,Approved,42,Cashless Network
131,2883,3/17/2026,Flood Damage,363819,0,Pending,73,Multi Brand
132,2217,2/5/2026,Total Loss,266825,0,Pending,30,Local Garage
133,2148,5/22/2026,Flood Damage,195096,0,Rejected,15,Authorized
134,3460,3/15/2026,Flood Damage,84782,0,Rejected,65,Multi Brand
135,2250,12/1/2025,Flood Damage,107298,0,Rejected,73,Cashless Network
136,1300,2/11/2026,Engine Damage,399046,0,Pending,40,Cashless Network
137,2425,5/15/2026,Theft Fire Damage,81875,0,Rejected,59,Cashless Network
138,1469,4/12/2026,Engine Damage,308271,7715,Approved,89,Authorized
139,3593,8/21/2025,Natural Disaster,338295,250145,Approved,44,Local Garage
140,1131,9/10/2025,Accidental Damage,275024,0,Pending,83,Multi Brand
141,1524,6/27/2026,Engine Damage,187318,177979,Approved,55,Authorized
142,2220,8/10/2025,Glass Damage,162812,0,Rejected,33,Authorized
143,3372,7/16/2025,Flood Damage,87417,0,Rejected,24,Authorized
144,2335,5/25/2026,Total Loss,426880,90175,Approved,59,Authorized
145,1958,8/14/2025,Engine Damage,404386,0,Rejected,57,Multi Brand
146,2544,8/9/2025,Own Damage,481268,0,Rejected,33,Authorized
147,3236,2/24/2026,Engine Damage,132614,0,Pending,18,Local Garage
148,489,10/12/2025,Natural Disaster,435802,0,Rejected,60,Cashless Network
149,571,12/28/2025,Theft Fire Damage,119849,0,Rejected,37,Multi Brand
150,3177,3/11/2026,Glass Damage,212427,0,Rejected,64,Local Garage
151,629,2/16/2026,Own Damage,30742,0,Rejected,16,Local Garage
152,3210,12/17/2025,Theft Fire Damage,128213,0,Rejected,79,Multi Brand
153,1540,6/18/2026,Natural Disaster,372715,362862,Approved,4,Cashless Network
154,2127,7/6/2025,Own Damage,145952,0,Rejected,8,Cashless Network
155,1764,8/30/2025,Own Damage,82936,0,Pending,17,Authorized
156,2197,4/7/2026,Own Damage,141286,0,Pending,61,Authorized
157,1799,1/1/2026,Flood Damage,447120,0,Pending,25,Cashless Network
158,2578,11/20/2025,Own Damage,254897,0,Pending,40,Local Garage
159,2194,5/17/2026,Flood Damage,329061,212520,Approved,18,Authorized
160,3576,7/17/2025,Own Damage,69210,44716,Approved,12,Multi Brand
161,1158,6/8/2026,Flood Damage,463628,38562,Approved,9,Local Garage
162,1296,3/13/2026,Engine Damage,232104,0,Pending,73,Multi Brand
163,2562,2/16/2026,Accidental Damage,212540,0,Rejected,47,Cashless Network
164,1330,1/29/2026,Natural Disaster,146115,0,Rejected,29,Multi Brand
165,2849,3/31/2026,Glass Damage,385642,23181,Approved,7,Multi Brand
166,730,9/13/2025,Natural Disaster,285006,0,Pending,9,Cashless Network
167,2737,5/26/2026,Accidental Damage,320132,64944,Approved,54,Authorized
168,376,11/12/2025,Engine Damage,72154,23004,Approved,1,Authorized
169,3875,6/21/2026,Glass Damage,180236,0,Rejected,20,Local Garage
170,3481,4/24/2026,Accidental Damage,60136,0,Pending,87,Local Garage
171,474,5/30/2026,Natural Disaster,491914,0,Rejected,79,Authorized
172,247,2/8/2026,Flood Damage,201034,109090,Approved,25,Local Garage
173,1824,2/19/2026,Accidental Damage,225178,0,Pending,57,Cashless Network
174,2486,12/9/2025,Engine Damage,269048,0,Rejected,34,Cashless Network
175,582,5/10/2026,Engine Damage,374723,374237,Approved,14,Local Garage
176,46,8/7/2025,Accidental Damage,339981,0,Rejected,44,Cashless Network
177,412,5/2/2026,Natural Disaster,186213,0,Rejected,78,Cashless Network
178,1608,9/23/2025,Glass Damage,421315,287501,Approved,55,Cashless Network
179,2628,4/22/2026,Own Damage,52657,45989,Approved,3,Local Garage
180,3266,5/19/2026,Engine Damage,457150,0,Pending,30,Multi Brand
181,17,8/25/2025,Theft Fire Damage,480824,378806,Approved,69,Local Garage
182,213,2/2/2026,Engine Damage,102855,49930,Approved,81,Cashless Network
183,482,9/29/2025,Engine Damage,420910,0,Pending,84,Local Garage
184,3458,12/27/2025,Own Damage,6381,0,Pending,36,Multi Brand
185,1012,3/3/2026,Engine Damage,326665,0,Rejected,36,Multi Brand
186,2515,5/15/2026,Accidental Damage,474014,107959,Approved,8,Multi Brand
187,2265,11/21/2025,Accidental Damage,129283,51295,Approved,25,Local Garage
188,2456,12/30/2025,Natural Disaster,45359,0,Rejected,17,Cashless Network
189,2647,1/6/2026,Theft Fire Damage,339708,0,Pending,38,Multi Brand
190,3709,12/15/2025,Flood Damage,266549,104054,Approved,2,Local Garage
191,929,12/31/2025,Accidental Damage,484060,196462,Approved,81,Authorized
192,2287,10/19/2025,Engine Damage,190375,0,Pending,7,Multi Brand
193,3507,11/1/2025,Natural Disaster,258790,0,Rejected,42,Authorized
194,734,4/6/2026,Theft Fire Damage,392083,0,Rejected,28,Local Garage
195,3346,8/14/2025,Accidental Damage,281674,83676,Approved,46,Local Garage
196,1095,11/2/2025,Accidental Damage,219206,0,Rejected,74,Cashless Network
197,3108,4/1/2026,Engine Damage,454817,0,Pending,88,Local Garage
198,375,4/10/2026,Engine Damage,76473,0,Pending,66,Cashless Network
199,1242,2/8/2026,Total Loss,34657,23832,Approved,70,Local Garage
200,1293,7/9/2025,Glass Damage,442955,290308,Approved,19,Authorized
201,3840,2/22/2026,Glass Damage,134169,0,Rejected,78,Multi Brand
202,2971,11/15/2025,Total Loss,45142,42885,Approved,86,Local Garage
203,2532,10/12/2025,Accidental Damage,344760,218682,Approved,53,Cashless Network
204,3597,2/1/2026,Accidental Damage,268185,0,Pending,50,Authorized
205,3561,10/16/2025,Engine Damage,412154,355795,Approved,85,Multi Brand
206,2821,4/12/2026,Own Damage,458505,270405,Approved,32,Authorized
207,3908,1/10/2026,Own Damage,484904,0,Pending,64,Cashless Network
208,859,11/11/2025,Own Damage,367235,0,Rejected,48,Multi Brand
209,1167,6/19/2026,Glass Damage,383291,0,Pending,62,Cashless Network
210,919,4/19/2026,Total Loss,449393,0,Pending,23,Multi Brand
211,2332,12/21/2025,Accidental Damage,380703,0,Rejected,31,Local Garage
212,1531,2/13/2026,Accidental Damage,272250,0,Rejected,52,Local Garage
213,44,12/13/2025,Accidental Damage,131220,35276,Approved,79,Authorized
214,2828,11/16/2025,Flood Damage,470683,416158,Approved,30,Multi Brand
215,3936,5/23/2026,Accidental Damage,448750,0,Rejected,5,Multi Brand
216,1219,9/25/2025,Flood Damage,497204,251509,Approved,85,Multi Brand
217,2217,11/26/2025,Natural Disaster,271671,0,Rejected,87,Authorized
218,378,2/24/2026,Flood Damage,496247,0,Pending,16,Multi Brand
219,3972,7/1/2025,Accidental Damage,437630,0,Rejected,14,Multi Brand
220,3761,7/4/2025,Accidental Damage,142039,0,Rejected,36,Authorized
221,3828,4/12/2026,Theft Fire Damage,227556,118936,Approved,45,Cashless Network
222,3678,9/10/2025,Engine Damage,191872,0,Rejected,64,Multi Brand
223,2117,10/15/2025,Flood Damage,233775,0,Pending,69,Authorized
224,3215,6/15/2026,Glass Damage,108982,0,Pending,24,Local Garage
225,1476,10/27/2025,Accidental Damage,465680,273320,Approved,33,Local Garage
226,3633,11/9/2025,Natural Disaster,399880,0,Pending,19,Multi Brand
227,90,9/17/2025,Engine Damage,62710,0,Rejected,85,Multi Brand
228,2644,9/5/2025,Engine Damage,353085,0,Pending,54,Authorized
229,1670,4/5/2026,Flood Damage,449802,181934,Approved,42,Cashless Network
230,3120,6/2/2026,Natural Disaster,441896,273682,Approved,33,Local Garage
231,357,6/29/2025,Own Damage,477099,432357,Approved,68,Multi Brand
232,2250,1/2/2026,Own Damage,157233,0,Rejected,53,Multi Brand
233,1642,4/20/2026,Accidental Damage,119911,0,Rejected,65,Multi Brand
234,1286,1/7/2026,Engine Damage,163495,0,Pending,57,Local Garage
235,2378,2/23/2026,Natural Disaster,116117,45885,Approved,34,Local Garage
236,559,11/21/2025,Accidental Damage,6001,0,Pending,73,Authorized
237,3993,11/7/2025,Total Loss,377541,0,Pending,64,Authorized
238,2546,8/8/2025,Accidental Damage,317340,78773,Approved,71,Multi Brand
239,2275,3/14/2026,Accidental Damage,256218,0,Rejected,63,Multi Brand
240,1736,3/10/2026,Natural Disaster,348087,0,Pending,70,Authorized
241,1492,1/9/2026,Total Loss,406724,294051,Approved,85,Local Garage
242,1345,1/13/2026,Engine Damage,297910,0,Rejected,59,Cashless Network
243,3855,5/6/2026,Flood Damage,151170,0,Rejected,20,Cashless Network
244,2325,1/20/2026,Glass Damage,343443,164315,Approved,70,Local Garage
245,1767,10/15/2025,Flood Damage,254870,0,Rejected,39,Authorized
246,1376,2/11/2026,Engine Damage,85988,0,Pending,51,Local Garage
247,829,4/1/2026,Engine Damage,129462,0,Rejected,33,Local Garage
248,747,5/14/2026,Total Loss,273735,120301,Approved,28,Cashless Network
249,1083,2/10/2026,Flood Damage,297288,214522,Approved,18,Multi Brand
250,377,3/23/2026,Total Loss,269756,0,Rejected,89,Cashless Network
251,3616,9/21/2025,Natural Disaster,94698,0,Pending,64,Authorized
252,1703,9/25/2025,Engine Damage,198310,0,Pending,71,Local Garage
253,2442,3/1/2026,Flood Damage,453455,0,Pending,28,Cashless Network
254,3287,10/17/2025,Flood Damage,276568,0,Pending,9,Cashless Network
255,2055,1/28/2026,Natural Disaster,339465,43524,Approved,50,Multi Brand
256,1127,2/26/2026,Total Loss,302582,143700,Approved,71,Local Garage
257,1689,5/11/2026,Own Damage,227264,0,Pending,82,Authorized
258,3263,9/4/2025,Flood Damage,180391,0,Pending,33,Cashless Network
259,3022,2/6/2026,Total Loss,235416,0,Rejected,80,Multi Brand
260,2338,5/12/2026,Total Loss,166492,0,Pending,18,Authorized
261,3073,11/29/2025,Theft Fire Damage,162539,0,Rejected,28,Multi Brand
262,1937,9/22/2025,Glass Damage,299278,0,Pending,87,Multi Brand
263,1420,4/6/2026,Glass Damage,376832,0,Rejected,27,Authorized
264,1527,6/26/2026,Flood Damage,22575,10690,Approved,55,Multi Brand
265,2805,11/7/2025,Natural Disaster,198946,0,Pending,35,Cashless Network
266,759,5/14/2026,Own Damage,410337,166119,Approved,44,Authorized
267,818,8/11/2025,Own Damage,86864,71513,Approved,46,Local Garage
268,2537,10/20/2025,Total Loss,246142,0,Pending,81,Local Garage
269,3718,5/14/2026,Accidental Damage,482135,0,Pending,3,Multi Brand
270,2506,10/31/2025,Engine Damage,56276,0,Pending,86,Local Garage
271,2876,10/29/2025,Total Loss,284918,136607,Approved,60,Multi Brand
272,1363,7/22/2025,Engine Damage,79117,0,Pending,51,Local Garage
273,2609,10/23/2025,Accidental Damage,280503,0,Pending,39,Authorized
274,1446,9/30/2025,Glass Damage,27814,18373,Approved,2,Cashless Network
275,625,10/14/2025,Engine Damage,280191,0,Rejected,40,Multi Brand
276,1951,12/6/2025,Glass Damage,64257,0,Rejected,60,Cashless Network
277,2337,5/19/2026,Total Loss,389382,0,Pending,90,Local Garage
278,2972,8/8/2025,Engine Damage,205102,123164,Approved,60,Local Garage
279,2936,11/13/2025,Engine Damage,250386,0,Pending,38,Authorized
280,763,1/18/2026,Total Loss,7687,6798,Approved,63,Multi Brand
281,2495,6/10/2026,Flood Damage,201636,0,Pending,52,Multi Brand
282,574,9/16/2025,Accidental Damage,328707,0,Pending,32,Multi Brand
283,3672,1/16/2026,Own Damage,380837,121722,Approved,59,Multi Brand
284,1599,12/17/2025,Theft Fire Damage,45062,41955,Approved,67,Multi Brand
285,2224,8/29/2025,Flood Damage,406808,0,Pending,17,Authorized
286,1413,3/3/2026,Natural Disaster,326698,260492,Approved,22,Cashless Network
287,614,5/22/2026,Glass Damage,97959,70327,Approved,15,Local Garage
288,436,11/25/2025,Total Loss,130059,0,Rejected,73,Authorized
289,2230,5/19/2026,Own Damage,313805,0,Pending,33,Local Garage
290,1856,9/3/2025,Total Loss,199024,0,Rejected,22,Local Garage
291,602,2/3/2026,Engine Damage,496897,225385,Approved,28,Cashless Network
292,2932,2/22/2026,Total Loss,18471,0,Rejected,7,Local Garage
293,2147,9/14/2025,Glass Damage,214959,0,Rejected,31,Local Garage
294,3181,7/20/2025,Natural Disaster,313515,0,Pending,12,Authorized
295,2862,9/11/2025,Total Loss,431534,0,Rejected,6,Local Garage
296,3561,5/2/2026,Glass Damage,361756,0,Pending,42,Multi Brand
297,2273,1/30/2026,Accidental Damage,366830,0,Rejected,44,Local Garage
298,1267,11/4/2025,Total Loss,309689,0,Rejected,83,Local Garage
299,1434,9/7/2025,Flood Damage,315724,0,Rejected,84,Authorized
300,907,2/18/2026,Accidental Damage,305635,277193,Approved,10,Authorized
301,3166,6/12/2026,Accidental Damage,335642,315116,Approved,78,Cashless Network
302,3848,11/21/2025,Glass Damage,21878,0,Rejected,78,Local Garage
303,961,11/15/2025,Own Damage,357586,0,Rejected,40,Local Garage
304,3178,9/29/2025,Flood Damage,287129,240744,Approved,71,Cashless Network
305,1485,4/25/2026,Flood Damage,102509,0,Rejected,35,Multi Brand
306,1201,3/28/2026,Engine Damage,112221,40864,Approved,29,Cashless Network
307,629,6/14/2026,Own Damage,219044,176542,Approved,24,Cashless Network
308,3958,5/17/2026,Theft Fire Damage,47329,0,Pending,88,Cashless Network
309,1604,3/24/2026,Theft Fire Damage,315751,274355,Approved,49,Local Garage
310,1548,3/3/2026,Theft Fire Damage,276573,0,Pending,78,Local Garage
311,30,2/1/2026,Flood Damage,215515,204927,Approved,48,Local Garage
312,3307,11/4/2025,Own Damage,32188,0,Rejected,13,Authorized
313,1296,1/12/2026,Glass Damage,344599,0,Rejected,84,Multi Brand
314,1951,12/27/2025,Accidental Damage,437646,260201,Approved,63,Local Garage
315,3687,3/8/2026,Theft Fire Damage,340640,130623,Approved,16,Multi Brand
316,589,6/1/2026,Own Damage,39708,0,Pending,38,Authorized
317,2339,3/13/2026,Own Damage,320419,0,Rejected,10,Local Garage
318,1403,2/26/2026,Own Damage,24339,0,Rejected,17,Multi Brand
319,531,12/29/2025,Own Damage,43367,0,Rejected,9,Authorized
320,1240,1/20/2026,Accidental Damage,104088,0,Rejected,85,Local Garage
321,10,5/28/2026,Own Damage,418248,121536,Approved,45,Authorized
322,2306,11/18/2025,Natural Disaster,369695,226537,Approved,43,Cashless Network
323,3135,2/5/2026,Total Loss,484400,0,Pending,71,Local Garage
324,1146,12/29/2025,Flood Damage,140671,7705,Approved,41,Authorized
325,3351,5/31/2026,Flood Damage,297962,198728,Approved,65,Multi Brand
326,1059,5/20/2026,Glass Damage,396741,0,Pending,3,Authorized
327,966,2/17/2026,Flood Damage,471087,0,Pending,70,Local Garage
328,1841,4/1/2026,Own Damage,469886,0,Pending,80,Multi Brand
329,3136,4/7/2026,Natural Disaster,230760,0,Pending,40,Cashless Network
330,1866,5/17/2026,Theft Fire Damage,452137,0,Rejected,80,Cashless Network
331,2635,11/27/2025,Accidental Damage,479257,359765,Approved,47,Authorized
332,3254,11/14/2025,Flood Damage,243866,51151,Approved,78,Cashless Network
333,3774,9/4/2025,Engine Damage,407854,0,Rejected,27,Multi Brand
334,2742,7/15/2025,Glass Damage,331590,0,Rejected,39,Multi Brand
335,2948,6/30/2025,Own Damage,482227,0,Rejected,11,Cashless Network
336,120,6/21/2026,Own Damage,260971,0,Pending,26,Local Garage
337,3784,12/22/2025,Flood Damage,124282,0,Rejected,27,Authorized
338,54,7/25/2025,Theft Fire Damage,158789,96034,Approved,79,Authorized
339,3070,7/30/2025,Accidental Damage,176334,121326,Approved,13,Authorized
340,3297,6/18/2026,Theft Fire Damage,81080,0,Rejected,75,Cashless Network
341,813,2/25/2026,Theft Fire Damage,91715,63189,Approved,24,Multi Brand
342,3089,4/26/2026,Accidental Damage,205892,0,Rejected,56,Local Garage
343,272,7/2/2025,Total Loss,468779,206736,Approved,45,Local Garage
344,271,11/13/2025,Flood Damage,108303,0,Pending,55,Multi Brand
345,1947,9/10/2025,Flood Damage,149772,0,Pending,21,Multi Brand
346,768,11/16/2025,Total Loss,448562,0,Rejected,80,Cashless Network
347,2132,4/6/2026,Own Damage,397320,40331,Approved,37,Local Garage
348,3524,5/31/2026,Theft Fire Damage,167544,30373,Approved,73,Multi Brand
349,989,5/19/2026,Natural Disaster,221041,0,Rejected,86,Local Garage
350,1232,12/16/2025,Theft Fire Damage,356999,0,Rejected,40,Multi Brand
351,2932,7/25/2025,Natural Disaster,317547,0,Rejected,28,Cashless Network
352,734,5/26/2026,Own Damage,327343,198082,Approved,85,Cashless Network
353,3225,1/3/2026,Flood Damage,40351,5579,Approved,68,Multi Brand
354,826,1/2/2026,Total Loss,76588,34138,Approved,15,Local Garage
355,746,9/1/2025,Own Damage,326872,41991,Approved,58,Multi Brand
356,3869,12/20/2025,Own Damage,388395,0,Pending,74,Multi Brand
357,1553,5/1/2026,Theft Fire Damage,9144,0,Rejected,65,Authorized
358,1999,9/10/2025,Own Damage,302423,0,Pending,49,Multi Brand
359,1229,10/2/2025,Flood Damage,210226,209102,Approved,90,Cashless Network
360,253,12/26/2025,Accidental Damage,175303,0,Pending,58,Cashless Network
361,514,4/10/2026,Flood Damage,295905,0,Rejected,13,Authorized
362,3848,5/10/2026,Natural Disaster,196277,0,Pending,36,Local Garage
363,1984,8/2/2025,Total Loss,330605,0,Rejected,17,Authorized
364,1755,4/19/2026,Theft Fire Damage,273319,132171,Approved,73,Local Garage
365,1670,12/7/2025,Own Damage,298555,0,Rejected,16,Cashless Network
366,3045,7/10/2025,Theft Fire Damage,137517,0,Pending,61,Cashless Network
367,3822,5/14/2026,Own Damage,63104,0,Pending,67,Cashless Network
368,3467,3/21/2026,Accidental Damage,62126,0,Rejected,87,Cashless Network
369,2060,8/19/2025,Flood Damage,459525,0,Rejected,3,Multi Brand
370,3774,10/21/2025,Own Damage,230851,0,Rejected,7,Local Garage
371,3013,6/16/2026,Flood Damage,493932,0,Rejected,13,Local Garage
372,941,12/15/2025,Total Loss,180143,0,Pending,76,Multi Brand
373,1313,7/10/2025,Accidental Damage,208854,0,Pending,42,Local Garage
374,1745,6/9/2026,Accidental Damage,268964,0,Pending,37,Authorized
375,2977,3/30/2026,Accidental Damage,91070,0,Rejected,84,Multi Brand
376,2324,11/6/2025,Engine Damage,305304,0,Rejected,31,Authorized
